Pair,Year,Cointegration Ratio
"['SQ', 'WBA']",2023,0.0874
"['NEE', 'RIOT']",2023,0.08732225115161225
"['AMD', 'RIOT']",2023,0.0872
"['SQ', 'T']",2023,0.0872
"['AMZN', 'JPM']",2023,0.08714357178589295
"['AMD', 'SHOP']",2023,0.0871
"['SHOP', 'SQ']",2023,0.0871
"['NEE', 'WMT']",2023,0.0871
"['GOOGL', 'XOM']",2023,0.087
"['MARA', 'SHOP']",2023,0.087
"['RIOT', 'XOM']",2023,0.08691738347669534
"['SHOP', 'WBA']",2023,0.0869
"['MARA', 'WFC']",2023,0.08685211126676005
"['MU', 'RIVN']",2023,0.08684342171085543
"['COIN', 'WBA']",2023,0.08683473389355742
"['PYPL', 'UBER']",2023,0.0868
"['CVX', 'SHOP']",2023,0.0868
"['CVX', 'SNAP']",2023,0.0867
"['AMD', 'TSLA']",2023,0.0867
"['NEE', 'RIVN']",2023,0.08665598076537769
"['RIVN', 'WMT']",2023,0.08663465386154462
"['GOOGL', 'MU']",2023,0.0866
"['CSCO', 'JPM']",2023,0.0866
"['MU', 'UBER']",2023,0.0866
"['AMD', 'AMZN']",2023,0.0865
"['COIN', 'UBER']",2023,0.0865
"['INTC', 'JPM']",2023,0.0864
"['BABA', 'PLTR']",2023,0.0864
"['AMD', 'F']",2023,0.0864
"['AMD', 'NEE']",2023,0.0863431715857929
"['C', 'XOM']",2023,0.0863
"['INTC', 'PYPL']",2023,0.0862
"['NEE', 'SHOP']",2023,0.0862
"['AMZN', 'INTC']",2023,0.0862
"['CSCO', 'WFC']",2023,0.0862
"['CVX', 'NEE']",2023,0.0862
"['AAPL', 'C']",2023,0.0861344537815126
"['MARA', 'RIVN']",2023,0.0861
"['CSCO', 'VZ']",2023,0.0861
"['INTC', 'XOM']",2023,0.0861
"['JPM', 'XOM']",2023,0.0861
"['AMD', 'UBER']",2023,0.0861
"['GOOG', 'JPM']",2023,0.086
"['BABA', 'GOOG']",2023,0.086
"['NEE', 'XOM']",2023,0.086
"['AAPL', 'MU']",2023,0.08592577773332
"['AMD', 'WMT']",2023,0.0859085908590859
